stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
41.655351,,-71.265123,003750,,,,FERRY RD FS SIDNEY,0,
41.781871,,-71.363474,010955,,,,PAWTUCKET NS INDUSTRIAL CT,0,
41.655229,,-71.265166,003755,,,,FERRY OPP SIDNEY,0,
41.840158,,-71.403915,018735,,,,CAMP NS PLEASANT,0,
41.685491,,-71.278854,004570,,,,HOPE AT BENJAMIN CHURCH SENIOR CTR,0,
41.744846,,-71.428289,008290,,,,POST BETWEEN ELM & CHESTNUT,0,
41.839593,,-71.437866,018730,,,,SMITH NS WYNDAM,0,
41.745766,,-71.406247,008295,,,,WARWICK OPP 1106 WARWICK AVE,0,
41.685728,,-71.453689,004575,,,,POST OPP COWESETT,0,
41.756101,,-71.475669,009050,,,,OAKLAWN AT 630 OAKLAWN,0,
41.885643,,-71.508985,023430,,,,FARNUM PIKE AT SMITHFIELD TOWN HALL,0,
41.878565,,-71.501095,022945,,,,WATERMAN OPP ESMOND,0,
41.51835,,-71.313613,057870,,,,CODDINGTON OPP CCRI ENTRANCE,0,
41.801019,,-71.426316,012800,,,,ELMWOOD OPP HAWTHORNE,0,
41.824461,,-71.501826,070880,,,,HARTFORD NS ATWOOD,0,
41.870819,,-71.387978,022120,,,,GEORGE NS PAWTUCKET,0,
41.721933,,-71.474838,007075,,,,WARWICK MALL AT THEATRES,0,
41.808629,,-71.463352,013825,,,,PLAINFIELD AT 825 PLAINFIELD,0,
41.721011,,-71.465792,007070,,,,GREENWICH AT 555 GREENWICH,0,
41.474556,,-71.300226,000915,,,,OCHRE POINT NS WEBSTER,0,
41.736759,,-71.477866,007980,,,,OAKLAWN AT RAINBOW STORE,0,
41.956493,,-71.702677,070330,,,,SAYLES FS BRIDGEWAY,0,
41.832347,,-71.442899,017660,,,,CHALKSTONE FS CANTON,0,
41.737221,,-71.290969,007985,,,,COUNTY AT 15 COUNTY RD,0,
41.807713,,-71.412881,013550,,,,CCRI PROVIDENCE,0,
41.819653,,-71.372029,015250,,,,TAUNTON OPP ALICE,0,
41.759719,,-71.404782,058180,,,,WARWICK OPP HARDING,0,
41.807373,,-71.456389,013555,,,,POCASSET OPP SOPHIA,0,
41.832909,,-71.472279,017800,,,,GREENVILLE AT 30 GREENVILLE,0,
41.713487,,-71.399323,058185,,,,WARWICK AT 2323 WARWICK AVE,0,
41.786229,,-71.431523,059215,,,,PONTIAC FS PAINE,0,
41.824829,,-71.442844,059850,,,,ATWELLS AT 781 ATWELLS,0,
41.577911,,-71.460353,002935,,,,POST NS INTREPID,0,
41.694176,,-71.553476,004880,,,,WASHINGTON NS CONTENTMENT,0,
41.757572,,-71.445425,009125,,,,PONTIAC AT 988 PONTIAC AVE,0,
41.577688,,-71.270929,002930,,,,W MAIN BETWEEN MOBIL & DUNKIN DONUTS,0,
41.791554,,-71.49178,011775,,,,PLAINFIELD FS BLUE JAY WAY,0,
41.881937,,-71.354244,023325,,,,NEWPORT FS CARTER,0,
41.617523,,-71.246125,003355,,,,E MAIN OPP IRVING GAS,0,
41.561224,,-71.254288,002740,,,,E MAIN OPP GLEN RD,0,
41.884125,,-71.394152,023320,,,,DEXTER FS CENTRAL,0,
41.892541,,-71.360758,023895,,,,BENEFIT AT 250 BENEFIT,0,
41.87196,,-71.371444,022235,,,,COLUMBUS FS POND,0,
41.747365,,-71.453681,008475,,,,PONTIAC AT CNG PUMP STATION,0,
41.692389,,-71.556284,004795,,,,WASHINGTON NS KNOTTY OAK RD,0,
41.377025,,-71.512646,058670,,,,GREAT ISLAND RD AT SALTY BRINE BEACH,0,
41.872356,,-71.494324,022230,,,,WATERMAN OPP ARNOLD,0,
41.69137,,-71.521088,004790,,,,MAIN AT 1548 MAIN,0,
41.744465,,-71.464652,059210,,,,HOWARD AT LATHAM,0,
41.809133,,-71.455093,013735,,,,POCASSET OPP DANIEL,0,
41.753586,,-71.449001,008870,,,,PONTIAC FS PETTACONSETT,0,
41.870641,,-71.413589,022050,,,,SMITHFIELD FS W LAWN,0,
41.87664,,-71.568604,058320,,,,PUTNAM PIKE AT 711 PUTNAM PIKE,0,
41.525923,,-71.297526,002335,,,,W MAIN NS CHASES,0,
41.960348,,-71.700104,025010,,,,MAIN OPP ELM,0,
41.700329,,-71.4434,005290,,,,WEST SHORE AT 3395 WEST SHORE,0,
41.606115,,-71.247038,003225,,,,E MAIN NS POWER,0,
41.808989,,-71.424647,059100,,,,ELMWOOD NS CROMWELL,0,
41.726062,,-71.386332,007215,,,,WEST SHORE AT 635 WEST SHORE,0,
41.810603,,-71.358924,013900,,,,PAWTUCKET NS WARREN,0,
41.485173,,-71.561865,050665,,,,KINGSTOWN NS FAIRGROUNDS,0,
41.797626,,-71.457671,012395,,,,DYER AT 562 DYER,0,
41.723743,,-71.491273,007180,,,,PROVIDENCE NS WAKEFIELD,0,
42.00487,,-71.523894,050065,,,,RIVER OPP BLACKSTONE,0,
41.585395,,-71.252322,059580,,,,E MAIN NS CROSSINGS,0,
41.720455,,-71.48338,006855,,,,BALD HILL FS RT 113,0,
41.536076,,-71.26772,059585,,,,E MAIN AT SLATE HILL FARM,0,
42.006678,,-71.527245,050060,,,,RIVER FS 2ND,0,
41.719594,,-71.525521,006850,,,,MAIN AT 885 MAIN,0,
